epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.5253,0.75107,0.31208,0.46264,0.62461,1.23235,0.96891,0.98922,0.99368,0.87318,0.9569,0.96912,0.9801,0.93093,0.53499,0.22121,0.23108,0.2942,1.0049,0.0702439,0.00330623,0.00330623
2,54.9573,0.72039,0.17596,0.34155,0.58155,1.20843,0.97443,0.98016,0.99357,0.88282,0.96953,0.96825,0.98471,0.94926,0.52267,0.18061,0.18651,0.30092,0.98798,0.0402406,0.00663626,0.00663626
3,78.7809,0.70515,0.1609,0.29827,0.58686,1.18965,0.98747,0.93825,0.98834,0.86609,0.96155,0.94841,0.97993,0.95092,0.55028,0.1693,0.1895,0.34237,1.01787,0.010224,0.00995303,0.00995303
4,101.567,0.73003,0.16303,0.28831,0.60839,1.21029,0.96668,0.97222,0.98962,0.85904,0.97179,0.95687,0.97991,0.95144,0.5393,0.15686,0.14368,0.35351,1.00952,0.0099552,0.0099552,0.0099552
5,124.296,0.73293,0.15759,0.27181,0.61417,1.20255,0.94505,0.9555,0.98843,0.85771,0.94051,0.94106,0.98633,0.96102,0.55386,0.17648,0.14934,0.36998,1.02082,0.00992045,0.00992045,0.00992045
6,147.296,0.70501,0.1512,0.27144,0.59294,1.17991,0.97595,0.96603,0.99213,0.86803,0.96392,0.95412,0.98843,0.96449,0.52201,0.15231,0.13771,0.3363,0.99121,0.00987589,0.00987589,0.00987589
7,170.114,0.71789,0.14973,0.27397,0.61476,1.19634,0.96259,0.98413,0.99288,0.87504,0.95218,0.97619,0.98739,0.96087,0.53039,0.15033,0.1377,0.33347,0.98676,0.00982162,0.00982162,0.00982162
8,192.932,0.71807,0.14331,0.27163,0.58509,1.19166,0.9838,0.96394,0.99217,0.87006,0.96822,0.96734,0.98984,0.97373,0.51925,0.12174,0.11435,0.3314,0.98029,0.00975773,0.00975773,0.00975773
9,216.135,0.70288,0.13345,0.25657,0.58582,1.17889,0.96841,0.97309,0.99287,0.8665,0.96446,0.96912,0.98907,0.96419,0.54187,0.13463,0.14958,0.33599,0.99627,0.00968436,0.00968436,0.00968436
10,238.629,0.69611,0.12797,0.24057,0.57082,1.17764,0.96583,0.98413,0.99226,0.87452,0.9645,0.97034,0.98651,0.96534,0.52421,0.13723,0.1323,0.32666,0.98175,0.00960166,0.00960166,0.00960166
11,261.103,0.69506,0.13788,0.25916,0.56908,1.18438,0.9683,0.96958,0.99295,0.87703,0.96827,0.96876,0.99003,0.97251,0.52142,0.12621,0.15212,0.32563,0.98331,0.0095098,0.0095098,0.0095098
12,284.72,0.69337,0.12642,0.24656,0.56505,1.17269,0.9864,0.96429,0.99277,0.87448,0.96444,0.97619,0.98684,0.97121,0.53321,0.11361,0.13209,0.32694,1.00673,0.00940895,0.00940895,0.00940895
13,308.06,0.68175,0.12191,0.2506,0.5618,1.17372,0.97353,0.98413,0.99314,0.887,0.96949,0.98016,0.99188,0.97895,0.49127,0.10166,0.12769,0.29413,0.95952,0.00929932,0.00929932,0.00929932
14,331.468,0.68253,0.12744,0.24419,0.54808,1.16492,0.98408,0.98106,0.99416,0.88932,0.97599,0.96804,0.99002,0.97597,0.49625,0.10235,0.11126,0.30651,0.96081,0.00918114,0.00918114,0.00918114
15,353.39,0.66609,0.12202,0.24592,0.54534,1.15463,0.96517,0.98968,0.9933,0.89136,0.95356,0.97783,0.98481,0.97285,0.49922,0.09639,0.10854,0.31061,0.96381,0.00905463,0.00905463,0.00905463
16,375.221,0.66014,0.11557,0.24439,0.53314,1.15237,0.97156,0.99206,0.99369,0.90065,0.98012,0.97812,0.99303,0.98114,0.47469,0.10191,0.12307,0.29355,0.94027,0.00892007,0.00892007,0.00892007
17,397.763,0.65497,0.10778,0.23244,0.54754,1.1432,0.98272,0.9881,0.99408,0.89712,0.97872,0.98413,0.99389,0.98187,0.47075,0.09757,0.11899,0.28411,0.92845,0.0087777,0.0087777,0.0087777
18,420.469,0.66004,0.11404,0.23606,0.52769,1.15073,0.99059,0.9881,0.99399,0.90187,0.98263,0.98016,0.99217,0.97936,0.45468,0.09133,0.13277,0.27735,0.92822,0.00862783,0.00862783,0.00862783
19,443.187,0.65347,0.1121,0.22996,0.53338,1.14779,0.98419,0.98784,0.99412,0.90507,0.98023,0.98387,0.99242,0.98004,0.45779,0.10403,0.11323,0.27319,0.92266,0.00847076,0.00847076,0.00847076
20,466.287,0.63726,0.10899,0.23142,0.52085,1.13951,0.98659,0.9881,0.9944,0.89772,0.97641,0.98539,0.9913,0.97588,0.4809,0.1167,0.11869,0.28976,0.95241,0.0083068,0.0083068,0.0083068
21,489.806,0.64265,0.10737,0.22179,0.52205,1.14355,0.99206,0.99166,0.99476,0.90204,0.98809,0.98769,0.99424,0.98189,0.4674,0.10046,0.11262,0.28805,0.92349,0.00813627,0.00813627,0.00813627
