epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.714,0.95294,0.31176,0.43351,0.80567,1.44378,0.88801,0.91667,0.95682,0.63965,0.87824,0.9246,0.95279,0.89809,1.23556,0.3117,0.25862,0.61578,1.23311,0.0702439,0.00330623,0.00330623
2,50.6066,0.92357,0.23026,0.37111,0.77413,1.42589,0.86459,0.89683,0.94373,0.61056,0.86923,0.90476,0.93989,0.89068,1.27609,0.29273,0.20564,0.66423,1.25543,0.0402374,0.00663308,0.00663308
3,68.6246,0.9132,0.23165,0.34464,0.76533,1.40431,0.82459,0.89542,0.93538,0.57469,0.82104,0.89206,0.92718,0.86985,1.3587,0.32105,0.24093,0.76466,1.36071,0.010205,0.00993397,0.00993397
4,86.1424,0.94672,0.24643,0.34654,0.80802,1.44539,0.87209,0.89281,0.95244,0.60916,0.84071,0.93254,0.95114,0.89994,1.30349,0.28783,0.2645,0.6991,1.28926,0.00991232,0.00991232,0.00991232
5,104.006,0.959,0.23245,0.32747,0.83434,1.43952,0.86503,0.87698,0.95035,0.59823,0.83681,0.92063,0.95583,0.90353,1.28838,0.29048,0.19681,0.7051,1.2732,0.00984449,0.00984449,0.00984449
6,121.626,0.94375,0.23037,0.33315,0.802,1.42945,0.88292,0.92063,0.96256,0.59757,0.87545,0.93254,0.96027,0.91147,1.33084,0.30428,0.2051,0.69703,1.305,0.00975773,0.00975773,0.00975773
7,138.944,0.9523,0.21934,0.33823,0.84243,1.43822,0.86006,0.95112,0.95914,0.61217,0.87082,0.96303,0.96485,0.92369,1.30196,0.25139,0.19921,0.66439,1.30166,0.00965239,0.00965239,0.00965239
8,155.889,0.92623,0.22273,0.33113,0.78571,1.41712,0.8508,0.91667,0.9475,0.58487,0.86165,0.91443,0.94749,0.89639,1.33139,0.27391,0.21343,0.74582,1.27736,0.00952889,0.00952889,0.00952889
9,172.94,0.92844,0.21702,0.3203,0.78666,1.41686,0.86383,0.9127,0.95217,0.60321,0.8687,0.91667,0.95875,0.91551,1.31069,0.2767,0.20984,0.70948,1.29392,0.00938772,0.00938772,0.00938772
10,189.973,0.91256,0.20324,0.31096,0.78179,1.40623,0.89645,0.92756,0.96549,0.61891,0.89721,0.91667,0.95516,0.91272,1.28302,0.25798,0.18716,0.66295,1.28781,0.00922942,0.00922942,0.00922942
11,207.011,0.92578,0.2168,0.32569,0.78849,1.41528,0.87379,0.87913,0.94767,0.61962,0.86753,0.89683,0.9465,0.90223,1.27725,0.259,0.21618,0.70741,1.249,0.00905463,0.00905463,0.00905463
12,223.876,0.91352,0.206,0.31997,0.75453,1.40186,0.8995,0.95898,0.97627,0.6408,0.91448,0.93354,0.9715,0.93114,1.26171,0.24934,0.1996,0.6192,1.25657,0.00886404,0.00886404,0.00886404
13,241.013,0.90564,0.19736,0.3158,0.74001,1.39896,0.89914,0.91976,0.96763,0.64294,0.89285,0.94444,0.96778,0.93106,1.2561,0.22745,0.20554,0.64099,1.27619,0.00865839,0.00865839,0.00865839
14,258.008,0.90362,0.20767,0.31701,0.74722,1.38861,0.89703,0.95635,0.97091,0.64507,0.88999,0.94841,0.96709,0.92249,1.24768,0.24982,0.20875,0.60724,1.2366,0.00843851,0.00843851,0.00843851
15,275.059,0.87256,0.19335,0.30941,0.71696,1.36496,0.91327,0.90873,0.97002,0.64784,0.92373,0.90476,0.9643,0.92216,1.2076,0.24025,0.18391,0.59363,1.19816,0.00820525,0.00820525,0.00820525
16,292.451,0.87861,0.19816,0.31167,0.71357,1.3828,0.88994,0.94048,0.96971,0.64584,0.88619,0.93651,0.96495,0.93063,1.22473,0.2348,0.18876,0.62292,1.20043,0.00795954,0.00795954,0.00795954
17,309.845,0.86721,0.18439,0.30106,0.71936,1.36839,0.83849,0.96824,0.95872,0.65128,0.83165,0.96057,0.95541,0.92016,1.22993,0.22841,0.20573,0.639,1.19334,0.00770234,0.00770234,0.00770234
18,326.934,0.88046,0.1826,0.30801,0.70691,1.36743,0.87667,0.93087,0.9634,0.63963,0.87256,0.9238,0.9622,0.92776,1.2218,0.22519,0.19344,0.64291,1.16321,0.00743468,0.00743468,0.00743468
19,344.424,0.87279,0.18257,0.29846,0.72166,1.36629,0.85127,0.90848,0.95175,0.64162,0.83696,0.93705,0.95174,0.92239,1.22864,0.21526,0.21705,0.61683,1.18429,0.00715761,0.00715761,0.00715761
20,362.481,0.84365,0.18718,0.29432,0.68794,1.34886,0.9084,0.94048,0.96489,0.66204,0.90552,0.93651,0.95904,0.92523,1.18869,0.21748,0.19641,0.59271,1.14495,0.00687222,0.00687222,0.00687222
21,379.826,0.85032,0.17887,0.29717,0.69696,1.36088,0.8651,0.96704,0.96422,0.67061,0.85896,0.96671,0.96657,0.92959,1.1595,0.20905,0.16883,0.59064,1.12348,0.00657963,0.00657963,0.00657963
22,397.048,0.8405,0.16868,0.28746,0.67985,1.34156,0.91262,0.9246,0.96398,0.66234,0.89604,0.92348,0.95519,0.92293,1.17634,0.20879,0.18969,0.60371,1.13766,0.00628101,0.00628101,0.00628101
