epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,622.669,2.95744,0.84771,0.63194,2.957,3.26221,0.45993,0.41952,0.40522,0.17158,0.56747,0.52156,0.55065,0.42513,1.98201,0.80295,0.48937,2.15387,2.44001,0.0700092,0.00333231,0.00333231
2,1185.09,1.74478,0.6539,0.53199,1.85069,2.07936,0.69986,0.61043,0.66621,0.37767,0.74428,0.65195,0.7342,0.62764,1.47345,0.6078,0.47163,1.49092,1.85772,0.0400081,0.00666451,0.00666451
3,1735.66,1.48958,0.55462,0.50539,1.55897,1.81061,0.72569,0.66167,0.72359,0.45254,0.75179,0.69326,0.77141,0.68162,1.29114,0.52757,0.45075,1.2853,1.65334,0.0100024,0.0099922,0.0099922
4,2281.93,1.37304,0.49963,0.48597,1.4045,1.68627,0.7561,0.69044,0.76717,0.511,0.77994,0.7298,0.80446,0.72422,1.15521,0.45272,0.41772,1.09353,1.52587,0.00998474,0.00998474,0.00998474
5,2822.96,1.28023,0.45273,0.46667,1.27455,1.59673,0.7762,0.70986,0.79016,0.54569,0.79772,0.7376,0.82084,0.75172,1.07841,0.40236,0.40416,1.01367,1.43407,0.00997288,0.00997288,0.00997288
6,3384.38,1.22914,0.42117,0.45454,1.19831,1.54576,0.77798,0.73571,0.80708,0.5705,0.80224,0.75866,0.83414,0.77273,1.03374,0.37895,0.38499,0.93345,1.39332,0.00995765,0.00995765,0.00995765
7,3933.02,1.18816,0.40204,0.44445,1.15124,1.50803,0.79106,0.73881,0.82175,0.59071,0.81005,0.76154,0.84387,0.78469,0.99595,0.35848,0.38154,0.89458,1.35231,0.00993906,0.00993906,0.00993906
8,4477.12,1.15973,0.38109,0.43707,1.11142,1.4745,0.7904,0.75052,0.83243,0.60667,0.7983,0.77769,0.85072,0.79862,0.9601,0.33961,0.37116,0.85531,1.31857,0.00991711,0.00991711,0.00991711
9,5018.48,1.13692,0.36924,0.43069,1.08026,1.45248,0.7973,0.75562,0.83836,0.61736,0.81561,0.77485,0.85841,0.80766,0.94141,0.32229,0.36416,0.83018,1.29581,0.00989183,0.00989183,0.00989183
10,5559.01,1.11797,0.35796,0.42508,1.05824,1.43152,0.8096,0.7619,0.8491,0.62704,0.82348,0.77922,0.86426,0.81454,0.92397,0.31498,0.36082,0.80385,1.27431,0.00986323,0.00986323,0.00986323
